uri,title,year
https://hdl.handle.net/11245/3.1000,Kaart van het eiland Curaçao : benevens een plan van de stad en haven /,1838
https://hdl.handle.net/11245/3.1005,Amsterdam in 1882 /,1882
https://hdl.handle.net/11245/3.101,Gviana siue Amazonvm regio,1630
https://hdl.handle.net/11245/3.1012,"Nova XVII Provinciarum Germaniae Inferioris tabula, Leonis effigie /",1630
https://hdl.handle.net/11245/3.1021,Kaart van Amsterdam : met aanwijzing der negen kiesdistricten /,1896
https://hdl.handle.net/11245/3.1025,"Tafel vande XVII Nederlandze provincien : vertonende der zelver verdeling, grootte van landen en steden : mids-gaders haar regering, zo politicq als kerk-lyk, en veel andere merkweerdige zaken, ten nutte vande historien en geographie",1724
https://hdl.handle.net/11245/3.1028,"Deliniantur in hac tabula orae maritimae Abexiae, freti Mecani al Maris Rubri ... /",1596
https://hdl.handle.net/11245/3.1036,Frisia Occidentalis /,1630
https://hdl.handle.net/11245/3.1037,Hollandiae comitatus.,1636
https://hdl.handle.net/11245/3.1064,Komische Karte des Kriegsschauplatzes.,1854
https://hdl.handle.net/11245/3.1074,Nova totius terrarum orbis geographica ac hydrographica tabula /,1630
https://hdl.handle.net/11245/3.1078,Plan der belegering van het kasteel van Antwerpen.,1853
https://hdl.handle.net/11245/3.1082,Nieuwe kaart van het graafschap Zeeland /,1740
https://hdl.handle.net/11245/3.1083,Nova totius terrarum orbis tabula.,1660
https://hdl.handle.net/11245/3.1089,"De stat Dordrecht met de aenpalende landen als Out Dubbeldam, den Zuyt en Noortpolder, den Alloysen of Boven polder, den polder van Wieldrecht met de aenwassen. Als mede de Merwedegront Crayesteyn en vordere rivieren voorby de voornoemden stadt loopende",1720
https://hdl.handle.net/11245/3.1109,Cart topographique de l'isle St. Martin /,1826
https://hdl.handle.net/11245/3.1120,Tabula Islandiae,1630
https://hdl.handle.net/11245/3.1123,"Hyberniae regni in provincias Ultoniam, Connacham, Lageniam, Momoniamq. divisi tabula accuratissima",1700
https://hdl.handle.net/11245/3.1135,Regium Belgium /,1690
https://hdl.handle.net/11245/3.1145,Delfs Ziel.,1591
https://hdl.handle.net/11245/3.115,[Kaart van het beleg van Geertruidenberg] /,1593
https://hdl.handle.net/11245/3.1166,Nieuwe kaart van 't Kwartier Nymegen /,1744
https://hdl.handle.net/11245/3.1167,"Frisiae Dominium vernaculè Friesland, verdeeld in de Hoofd-deelen van Oostergoo, Westergoo en Sevenwolden. Als ook der XI steden zynde noch onderscheiden de XXX Grietenĳen",1718
https://hdl.handle.net/11245/3.117,Europa : pascaarte /,1660
https://hdl.handle.net/11245/3.1176,Flandria /,1602
https://hdl.handle.net/11245/3.1177,"[Kaart van het eiland Marken en het nabijgelegen deel van de Noordhollandse kust, met ingetekend het ontwerp voor een dijk in de Gouwzee] /",1660
https://hdl.handle.net/11245/3.1182,Freti Magellanici ac novi Freti vulgo Le Maire exactissima delineatio,1630
https://hdl.handle.net/11245/3.1184,"Brabantiae Batavae pars occidentalis, sive Antverpiensis tetrarchiae pars septentrionalis : comprehendens Baroniam Bredanam, Marchionatum Bergensem ad Zomam ... /",1780
https://hdl.handle.net/11245/3.1185,Orbis terrae compendiosa descriptio /,1587
https://hdl.handle.net/11245/3.1186,"Insulae Moluccae celeberrimae sunt ob maximam aromatum copiam quam per totum terrarum orbem mittunt: harum praecipuae sunt Ternate, Tidoris, Motir, Machian & Bachian, his quidam adjungunt Gilolum, Celebiam, Borneonem, Amboinum & Bandam ... /",1592
https://hdl.handle.net/11245/3.1187,Nova XVII provinciarvm discriptio /,1652
https://hdl.handle.net/11245/3.12,"[Paskaart van Sumatra, West-Java en Zuid-Malakka] /",1710
https://hdl.handle.net/11245/3.1201,Kaarte van Schouwen en Duiveland,1753
https://hdl.handle.net/11245/3.1203,Novissima et accuratissima totius Americae descriptio /,1671
https://hdl.handle.net/11245/3.1204,Franekera,1698
https://hdl.handle.net/11245/3.1208,"Nieuwe en naauwkeurige kaart van de drie landen van Overmaaze, Valkenburg, Daalhem en 's Hertogenrade /",1740
https://hdl.handle.net/11245/3.1212,Platte grond van de stad Paramaribo : zoo verre als dezelve tot het jaar 1804 door het Gouvernement aldaar is opgestelt /,1804
https://hdl.handle.net/11245/3.1215,"Carte particuliere des environs de Roermonde, Venlo, le marais de Peel, &c. /",1709
https://hdl.handle.net/11245/3.1217,Nova totius terrarum orbis tabula.,1682
https://hdl.handle.net/11245/3.1218,Tabula geographica indicans iter novum inter Mediolanum et Antverpiam /,1621
https://hdl.handle.net/11245/3.1220,Humoristische-oorlogskaart.,1870
https://hdl.handle.net/11245/3.1225,"Texel, en Flie Stroom /",1712
https://hdl.handle.net/11245/3.1226,Germaniae Inferioris omnium accuratissima delineatio /,1578
https://hdl.handle.net/11245/3.1230,Kaart van het vaarwater van Sourabaya tot Oedjong Pangka /,1843
https://hdl.handle.net/11245/3.1240,"Nova tabula insularum Iavae, Sumatrae, Borneonis et aliarum Malaccam usque /",1598
https://hdl.handle.net/11245/3.1244,Europa.,1700
https://hdl.handle.net/11245/3.1246,Kaart van Amsterdam en omstreken /,1893
https://hdl.handle.net/11245/3.1250,XVII Provinciarum Inferioris Germaniae nec non totius tractus Rheni ultra Francofurtum ... Nova et accurata descriptio /,1630
https://hdl.handle.net/11245/3.1259,"Plan van Straatsburg, hooftstadt van der Elsas ... den 30 September 1680, door den Koning van Vrankryk vermeestert ... als meede het fort Kehl ... den Keyser toebehoorende /",1750
https://hdl.handle.net/11245/3.1263,Caerte van Waterland vertonende de gelegentheyt der Meer en onlangs bedyckt als Buyckslooter Broecker en Belmer meer met de naest gelegen steden.,1640
https://hdl.handle.net/11245/3.1284,Belgii Inferioris descriptio emendata cum circumiacentium regionum confinijs.,1582
https://hdl.handle.net/11245/3.1293,"Meridionalis Americae pars in quinque regiones ab Hispanis dividitur, quae sunt Castella aurea, ut vocant: Popaianum, Peruvia, Chila & Brasilia ... /",1592
https://hdl.handle.net/11245/3.1299,"Pas caart van de Zuyder-Zee Texel, ende Vlie-stroom, als mede 't Amelander gat.",1670
https://hdl.handle.net/11245/3.1300,"Wijsgeerige en staatkundige waereldkaart, waar op de reizen van Cook en La Perouse geteekend zijn /",1802
